english	translation	category	sub_category	source
Beckon		manual	emote	
Laugh		manual	emote	
Jump for Joy		manual	emote	
Yawn		manual	emote	
Dance	と踊る	manual	emote	
Jig		manual	emote	
Spin	回す	manual	emote	
Headbang		manual	emote	
Cry		manual	emote	
Blow Kiss		manual	emote	
Panic		manual	emote	
Raspberry		manual	emote	
Clap		manual	emote	
Salute		manual	emote	
Goblin Bow		manual	emote	
Goblin Salute		manual	emote	
Glass Box		manual	emote	
Climb Rope		manual	emote	
Lean		manual	emote	
Glass Wall		manual	emote	
Idea		manual	emote	
Stamp		manual	emote	
Flap		manual	emote	
Slap Head		manual	emote	
Zombie Walk		manual	emote	
Zombie Dance		manual	emote	
Scared		manual	emote	
Rabbit Hop		manual	emote	
Skill Cape		manual	emote	
Zombie Hand		manual	emote	
Air Guitar		manual	emote	
Sit up		manual	emote	
Push up		manual	emote	
Star jump		manual	emote	
Jog		manual	emote	
Flex		manual	emote	
Hypermobile Drinker		manual	emote	
Uri transform		manual	emote	
Smooth dance		manual	emote	
Crazy dance		manual	emote	
Premier Shield		manual	emote	
Explore		manual	emote	
Relic unlock		manual	emote	
Party		manual	emote	
Trick		manual	emote	
Fortis Salute		manual	emote	
Crab dance		manual	emote	
Sit down		manual	emote	
Bald		manual	hair_beard	
Dreadlocks		manual	hair_beard	
Long		manual	hair_beard	
Medium		manual	hair_beard	
Tonsure		manual	hair_beard	
Short		manual	hair_beard	
Cropped		manual	hair_beard	
Wild spikes		manual	hair_beard	
Spikes	スパイク	manual	hair_beard	
Mohawk		manual	hair_beard	
Wind braids		manual	hair_beard	
Quiff		manual	hair_beard	
Samurai		manual	hair_beard	
Princely		manual	hair_beard	
Curtains	カーテン	manual	hair_beard	
Long curtains		manual	hair_beard	
Front split		manual	hair_beard	
Tousled		manual	hair_beard	
Side wedge		manual	hair_beard	
Front wedge		manual	hair_beard	
Front spikes		manual	hair_beard	
Frohawk		manual	hair_beard	
Rear skirt		manual	hair_beard	
Queue		manual	hair_beard	
Bun		manual	hair_beard	
Pigtails		manual	hair_beard	
Earmuffs	イヤーマフ	manual	hair_beard	
Side pony		manual	hair_beard	
Curls		manual	hair_beard	
Ponytail		manual	hair_beard	
Braids		manual	hair_beard	
Bunches		manual	hair_beard	
Bob	ボブ	manual	hair_beard	
Layered		manual	hair_beard	
Straight		manual	hair_beard	
Straight Braids		manual	hair_beard	
Two-back		manual	hair_beard	
Mullet		manual	hair_beard	
Undercut		manual	hair_beard	
Low Bun		manual	hair_beard	
Messy Bun		manual	hair_beard	
Pompadour		manual	hair_beard	
Afro		manual	hair_beard	
Short locs		manual	hair_beard	
Spiky Mohawk		manual	hair_beard	
Slicked Mohawk		manual	hair_beard	
Long Quiff		manual	hair_beard	
Short Choppy		manual	hair_beard	
Side Afro		manual	hair_beard	
Punk		manual	hair_beard	
Half-shaved		manual	hair_beard	
Fremennik	フレメニック	manual	hair_beard	
Elven		manual	hair_beard	
Medium Coils		manual	hair_beard	
High ponytail		manual	hair_beard	
Plaits		manual	hair_beard	
High Bunches		manual	hair_beard	
None		manual	hair_beard	
Goatee		manual	hair_beard	
Handlebar		manual	hair_beard	
Moustache		manual	hair_beard	
Pointy		manual	hair_beard	
Split	別ける	manual	hair_beard	
Mutton		manual	hair_beard	
Full Mutton		manual	hair_beard	
Big Moustache		manual	hair_beard	
Waxed Moustache		manual	hair_beard	
Dali		manual	hair_beard	
Vizier		manual	hair_beard	
Rimmington	リミングトンへ移動	manual	location	
Taverley		manual	location	
Pollnivneach		manual	location	
Rellekka	レレカへ移動	manual	location	
Brimhaven	ブリムヘブンへ移動	manual	location	
Yanille	ヤニル	manual	location	
Hosidius		manual	location	
Prifddinas	プリフディナス	manual	location	
Ardougne	アルドインへ移動	manual	location	
Desert		manual	location	
Falador	ファラドー	manual	location	
Fremennik	フレメニック	manual	location	
Kandarin		manual	location	
Karamja	カラムジャ	manual	location	
Lumbridge & Draynor		manual	location	
Morytania		manual	location	
Varrock	ヴァロック	manual	location	
Western Provinces		manual	location	
Wilderness		manual	location	
Kourend & Kebos		manual	location	
Shayzien		manual	location	
Arceuus	アルセウス	manual	location	
Lovakengj		manual	location	
Piscarilius		manual	location	
Al Kharid	アル・カリッド	manual	location	
Burgh de Rott	バーグ・ドゥ・ロット	manual	location	
Burthorpe	バーソープ	manual	location	
Canifis		manual	location	
Kharidian Desert		manual	location	
Dorgesh-Kaan		manual	location	
Draynor Village	ドレイナー村	manual	location	
Entrana		manual	location	
Feldip Hills		manual	location	
Gnome Stronghold		manual	location	
Goblin Village		manual	location	
Isafdar		manual	location	
Kebos Lowlands		manual	location	
Keldagrim		manual	location	
Kingstown		manual	location	
Lletya	レティア	manual	location	
Lumbridge	ランブリッジ	manual	location	
Lunar Isle	ルーナ島	manual	location	
Meiyerditch		manual	location	
Miscellania	ミセラニア	manual	location	
Mort'ton		manual	location	
Mos Le'Harmless		manual	location	
Nardah	ナーダ	manual	location	
Port Phasmatys		manual	location	
Port Piscarilius	ピスカリリウス港へ移動	manual	location	
Piscatoris		manual	location	
Port Sarim	サリム港へ移動	manual	location	
Seers' Village	シアーズ村	manual	location	
Shilo Village	シャイロ村	manual	location	
Silvarea		manual	location	
Slepe	スレペ	manual	location	
Sophanem		manual	location	
Tai Bwo Wannai		manual	location	
Tree Gnome Village	ツリー・ノームの村	manual	location	
Troll Stronghold	トロール要塞	manual	location	
Witchaven		manual	location	
Civitas illa Fortis	シビリタス・イラ・フォーチス	manual	location	
Avium Savannah		manual	location	
Slayer Tower		manual	location	
Catacombs of Kourend		manual	location	
Stronghold Slayer Dungeon		manual	location	
Karuulm Slayer Dungeon		manual	location	
Chasm of Fire		manual	location	
Brimhaven Dungeon		manual	location	
Taverley Dungeon		manual	location	
Witchaven Dungeon		manual	location	
Waterfall Dungeon		manual	location	
God Wars Dungeon		manual	location	
Kalphite Lair		manual	location	
task-only Kalphite Cave		manual	location	
Kraken Cove		manual	location	
Waterbirth Island	ウオーターバース島	manual	location	
Lizardman Canyon		manual	location	
Lizardman Settlement		manual	location	
Smoke Devil Dungeon		manual	location	
Death Plateau	死の高原	manual	location	
South of Mount Quidamortem		manual	location	
Fremennik Slayer Dungeon		manual	location	
Myths' Guild Dungeon		manual	location	
Mourner Tunnels		manual	location	
Lithkren Vault		manual	location	
Ancient Cavern		manual	location	
Stronghold of Security		manual	location	
Fossil Island	化石島	manual	location	
Asgarnian Ice Dungeon		manual	location	
Ogre Enclave		manual	location	
Brine Rat Cavern		manual	location	
Zanaris		manual	location	
In the Lighthouse		manual	location	
Smoke Dungeon		manual	location	
Evil Chicken's Lair		manual	location	
The Abyss		manual	location	
Molch		manual	location	
Kebos Swamp		manual	location	
The Battlefront		manual	location	
Forthos Dungeon		manual	location	
Iorwerth Dungeon		manual	location	
Jormungand's Prison		manual	location	
Darkmeyer	ダーク・メヤー	manual	location	
Meiyerditch Laboratories		manual	location	
Isle of Souls		manual	location	
Giants' Den		manual	location	
Fremennik Isles		manual	location	
Poison Waste Dungeon		manual	location	
Neypotzli		manual	location	
The Teomat		manual	location	
Sunset Coast		manual	location	
Hunter Guild		manual	location	
Cam Torum Entrance		manual	location	
Colossal Wyrm Remains		manual	location	
Outer Fortis		manual	location	
Fortis Colosseum	フォーティス闘技場	manual	location	
Ice Mountain		manual	location	
Corsair Cove		manual	location	
Shayzien Graveyard of Heroes		manual	location	
Southern coast of Hosidius		manual	location	
Draynor Manor cellar		manual	location	
Wizards' Tower	魔法使いの塔	manual	location	
Ardougne Rat Pits		manual	location	
The Kendal's cave		manual	location	
Ruins of Uzer		manual	location	
Crabclaw Caves or Waterbirth Island Dungeon		manual	location	
Chaos Altar		manual	location	
Wyvern Cave on Fossil Island		manual	location	
Trollweiss Mountain		manual	location	
Death Altar		manual	location	
Mos Le'Harmless Cave		manual	location	
Coronation ceremony during A Kingdom Divided.		manual	location	
Fight with the Giant Roc during My Arm's Big Adventure.		manual	location	
Scorpia's cave beneath the Scorpion Pit.		manual	location	
Beneath Cursed Sands	呪われた砂の下	manual	location	
Perilous Moons	危険な月々	manual	location	
PvP Arena	PvPアリーナ	manual	location	
Castle Wars	キャッスル・ウォーズ	manual	location	
Ferox Enclave	フェロックス・オンクレーブ	manual	location	
Warrior's Guild		manual	location	
Champion's Guild 		manual	location	
Monestery		manual	location	
Ranging Guild	弓ギルド	manual	location	
Grand Exchange	グランド・エクスチェンジ	manual	location	
Falador Park	ファラドー公園	manual	location	
Dondakan's Rock	ドンダカンの岩	manual	location	
Barbarian Outpost	蛮族の前哨基地	manual	location	
Corporeal Beast	コーポリアル獣	manual	location	
Tears of Guthix	ガシックスの涙	manual	location	
Wintertodt Camp	ウィンタートッド・キャンプ	manual	location	
Fishing Guild	釣りギルド	manual	location	
Mining Guild	採掘ギルド	manual	location	
Crafting Guild	工作ギルド	manual	location	
Cooking Guild	料理ギルド	manual	location	
Woodcutting Guild	木こりギルド	manual	location	
Farming Guild	農業ギルド	manual	location	
Edgeville	エッジビルへ移動	manual	location	
Vision		manual	music	
at the Wizards' Tower.		manual	music	
Volcanic Vikings		manual	music	
on Neitiznot.		manual	music	
Voodoo Cult		manual	music	
during the Legends' Quest.		manual	music	
Voyage		manual	music	
at Baxtorian Falls.		manual	music	
Waiting Game, The		manual	music	
The Waiting Game		manual	music	
in the Soul Wars lobby.		manual	music	
Waking Dream		manual	music	
during the Lunar Diplomacy quest.		manual	music	
Wally the Hero		manual	music	
during the Demon Slayer quest.		manual	music	
Wander		manual	music	
in Draynor Village.		manual	music	
Warpath		manual	music	
during the Clan Wars minigame.		manual	music	
Song of the Elves	エルフの歌	manual	music	
during the Song of the Elves quest.		manual	music	
What Happens Below...		manual	music	
in the Warrens.		manual	music	
Warrior	戦士	manual	music	
during The Fremennik Trials quest.		manual	music	
Warriors' Guild	戦士ギルド	manual	music	
at the Warriors' Guild.		manual	music	
Doors of Dinh, The		manual	music	
The Doors of Dinh		manual	music	
in the Northern Tundras.		manual	music	
Waterfall	滝	manual	music	
at the Baxtorian Falls.		manual	music	
Waterlogged		manual	music	
in Mort Myre Swamp.		manual	music	
Way of the Enchanter		manual	music	
in the Lunar Isle mine.		manual	music	
Way of the Wyrm		manual	music	
in the Karuulm Slayer Dungeon.		manual	music	
Wayward		manual	music	
in the Jiggig dungeon.		manual	music	
We are the Fairies		manual	music	
during the Fairytale II - Cure a Queen quest.		manual	music	
Lumbering		manual	music	
in Weiss.		manual	music	
Well of Voyage		manual	music	
during the Regicide quest.		manual	music	
Morytanian Mystery		manual	music	
during the Darkness of Hallowvale quest.		manual	music	
Where Eagles Lair		manual	music	
during the Eagles' Peak quest.		manual	music	
Wild Isle		manual	music	
in the Wilderness.		manual	music	
Wild Side		manual	music	
Wilderness		manual	music	
Revenants	幽鬼	manual	music	
in the Revenant Caves.		manual	music	
Wilderness 		manual	music	
Wildwood		manual	music	
Winter Funfair		manual	music	
during a Christmas event.		manual	music	
Ice and Fire		manual	music	
while fighting the Wintertodt.		manual	music	
Witching		manual	music	
Woe of the Wyvern		manual	music	
in the Asgarnian Ice Dungeon.		manual	music	
Wonder		manual	music	
Wonderous		manual	music	
near the Legends' Guild.		manual	music	
Woodland		manual	music	
at the Iorwerth Camp in Tirannwn.		manual	music	
Walk in the Woods, A		manual	music	
A Walk in the Woods		manual	music	
in the Kourend Woodland.		manual	music	
Work, Work, Work		manual	music	
Work\t Work\t Work		manual	music	
during the Tower of Life quest.		manual	music	
Workshop		manual	music	
in Falador.		manual	music	
Wrath and Ruin		manual	music	
in Tolna's Rift.		manual	music	
Part Where You Die, The		manual	music	
The Part Where You Die		manual	music	
during the A Kingdom Divided quest.		manual	music	
Predator Xarpus		manual	music	
in the Theatre of Blood.		manual	music	
Last King of the Yarasa		manual	music	
Xenophobe		manual	music	
in the Waterbirth Island Dungeon.		manual	music	
Festive Party, A		manual	music	
A Festive Party		manual	music	
Yesteryear		manual	music	
in Lumbridge.		manual	music	
Spurned Demon, The		manual	music	
The Spurned Demon		manual	music	
while fighting Zalcano.		manual	music	
Zamorak Zoo		manual	music	
in the God Wars Dungeon.		manual	music	
Zanik's Theme		manual	music	
during the Land of the Goblins quest.		manual	music	
Zaros Zeitgeist		manual	music	
Zealot	ジーロット	manual	music	
at the Water Altar.		manual	music	
Zogre Dance		manual	music	
south of Castle Wars.		manual	music	
On Thin Ice		manual	music	
during the Dragon Slayer II quest.		manual	music	
Zombiism		manual	music	
on Harmony Island.		manual	music	
Old Ones, The		manual	music	
The Old Ones		manual	music	
during The Garden of Death quest.		manual	music	
Secrets of the North	北陸の秘密	manual	music	
during the Secrets of the North quest.		manual	music	
In the Shadows		manual	music	
More Than Meets the Eye		manual	music	
Vault, The		manual	music	
The Vault		manual	music	
during the Desert Treasure II - The Fallen Empire quest.		manual	music	
Fallen Empire, The		manual	music	
The Fallen Empire		manual	music	
Prison Break		manual	music	
Scar Tissue		manual	music	
Worthy Foe, A		manual	music	
A Worthy Foe		manual	music	
Colossus of the Deep		manual	music	
Eye See You		manual	music	
Blood Rush	ブラッド・ラッシュ	manual	music	
Song of the Silent Choir		manual	music	
Unturned Stones		manual	music	
Master of Puppets		manual	music	
His Faithful Servants	あの方の忠実な従者達	manual	music	
Tick Tock		manual	music	
Strangled	絞殺された者	manual	music	
Bolrie's Diary		manual	music	
during The Path of Glouphrie quest.		manual	music	
Healin' Feelin'		manual	music	
Longramble Scramble, The		manual	music	
The Longramble Scramble		manual	music	
Storeroom Shuffle		manual	music	
Terrorbird Tussle		manual	music	
Waste Defaced		manual	music	
Dot's Yuletide		manual	music	
Children of the Sun	太陽の子	manual	music	
during the Children of the Sun quest.		manual	music	
Plots and Plans		manual	music	
Burning Sun, The		manual	music	
The Burning Sun		manual	music	
Undead Army		manual	music	
during the Defender of Varrock quest.		manual	music	
Dream Theatre, The		manual	music	
The Dream Theatre		manual	music	
Zombie Invasion		manual	music	
City of Sun, The		manual	music	
The City of Sun		manual	music	
in Civitas illa Fortis.		manual	music	
Undying Light, The		manual	music	
The Undying Light		manual	music	
in the Avium Savannah.		manual	music	
Guidance of Ralos, The		manual	music	
The Guidance of Ralos		manual	music	
on Ralos' Rise.		manual	music	
Under the Mountain		manual	music	
in Cam Torum.		manual	music	
Ready for the Hunt		manual	music	
in the Hunter Guild.		manual	music	
Are You Not Entertained?		manual	music	
in the Fortis Colosseum.		manual	music	
Moons of Ruin, The		manual	music	
The Moons of Ruin		manual	music	
during the Perilous Moons quest.		manual	music	
Lost to Time		manual	music	
Sunny Side Up		manual	music	
during the Easter  Holiday Event.		manual	music	
Animal Magnetism	動物の磁性	manual	quest	
Learn how to equip Ava's ranged devices.		manual	quest	
Another Slice of H.A.M.	もう１スライスのH.A.M	manual	quest	
Learn how to use the Goblin Village teleport spheres.		manual	quest	
Ascent of Arceuus, The	アルセウスの昇天	manual	quest	
The Ascent of Arceuus	アルセウスの昇天	manual	quest	
Gain the Arceuus Memoirs teleport.		manual	quest	
Alfred Grimhand's Barcrawl	アルフレッド・グイムハンドのバー巡り	manual	quest	
Embark on a Barbarian rite of passage.		manual	quest	
Bear Your Soul	魂をさらけ出す	manual	quest	
Gain the Soul Bearer.		manual	quest	
Below Ice Mountain	氷山の地下	manual	quest	
Gain access to the Ruins of Camdozaal.		manual	quest	
Between a Rock...	岩の間に・・・	manual	quest	
Gain access to the Arzinian Gold Mine.		manual	quest	
Big Chompy Bird Hunting	大チョンピー鳥狩り	manual	quest	
Learn how to hunt Chompy Birds.		manual	quest	
Biohazard	バイオハザード	manual	quest	
Unlock the West Ardougne teleport spell.		manual	quest	
Black Knights' Fortress	黒騎士の要塞	manual	quest	
Assist the White Knights with their investigation.		manual	quest	
Bone Voyage	骨の航海	manual	quest	
Gain access to Fossil Island.		manual	quest	
Cabin Fever	船室病	manual	quest	
Gain access to Mos'LeHarmless.		manual	quest	
Client of Kourend	クーレンドの顧客	manual	quest	
Gain Kharedst's Memoirs.		manual	quest	
Clock Tower	時計塔	manual	quest	
Help Brother Kojo repair the Clock Tower.		manual	quest	
Cold War	冷戦	manual	quest	
Gain access to the Penguin Agility Course.		manual	quest	
Contact!	接触！	manual	quest	
Gain the Keris dagger.		manual	quest	
Cook's Assistant	料理人の助手	manual	quest	
Help the Lumbridge Castle Cook out of his baking bind.		manual	quest	
Corsair Curse, The	私掠戦の呪い	manual	quest	
The Corsair Curse	私掠戦の呪い	manual	quest	
Gain access to the Corsair Cove Bank.		manual	quest	
Creature of Fenkenstrain	フェンケンストレインの生物	manual	quest	
Gain a Ring of Charos.		manual	quest	
Curse of the Empty Lord	虚無の主の呪い	manual	quest	
Gain a set of Ghostly Robes.		manual	quest	
Daddy's Home	父の家	manual	quest	
Learn about the Construction skill.		manual	quest	
Darkness of Hallowvale	ハローヴァールの闇	manual	quest	
Learn the reverse Temple Trekking routes.		manual	quest	
Death Plateau	死の高原	manual	quest	
Gain a set of Climbing Boots.		manual	quest	
Death to the Dorgeshuun	ドーゲシューンに死を	manual	quest	
Gain access to the H.A.M Store Room.		manual	quest	
Demon Slayer	デーモン・スレイヤー	manual	quest	
Face your destiny in Varrock.		manual	quest	
Depths of Despair, The	絶望の底	manual	quest	
The Depths of Despair	絶望の底	manual	quest	
Gain the Hosidius Memoirs teleport.		manual	quest	
Desert Treasure I	砂漠の宝１	manual	quest	
Learn how to use the Ancient Magicks.		manual	quest	
Devious Minds	狡猾な心	manual	quest	
Dig Site, The	発掘現場	manual	quest	
The Dig Site	発掘現場	manual	quest	
Learn how to clean specimens in Varrock Museum.		manual	quest	
Doric's Quest	ドリックのクエスト	manual	quest	
Gain early game Mining XP.		manual	quest	
Dragon Slayer I	ドラゴン・スレイヤー１	manual	quest	
Learn how to equip Rune and Dragon Platebodies.		manual	quest	
Dragon Slayer II	ドラゴン・スレイヤー２	manual	quest	
Gain great XP and access to the Myth's Guild.		manual	quest	
Dream Mentor	夢のメンター	manual	quest	
Learn how to cast more Lunar spells.		manual	quest	
Druidic Ritual	ドルイドの儀式	manual	quest	
Unlock the Herblore skill.		manual	quest	
Dwarf Cannon	ドワーフ・キャノン	manual	quest	
Learn how to use a Dwarf Multicannons.		manual	quest	
Eadgar's Ruse	エドガーの策略	manual	quest	
Learn how to grow and steal Goutweed.		manual	quest	
Eagles' Peak	ワシの峰	manual	quest	
Gain access to the Eagle transportation and Box Traps.		manual	quest	
Elemental Workshop I	エレメント工房１	manual	quest	
Rediscover the knowledge hidden in Seers' Village.		manual	quest	
Elemental Workshop II	エレメント工房２	manual	quest	
Learn how to equip Mind equipment.		manual	quest	
Enakhra's Lament	得なくらの嘆き	manual	quest	
Gain a Camulet.		manual	quest	
Enchanted Key, The	魔法のカギ	manual	quest	
The Enchanted Key	魔法のカギ	manual	quest	
Hunt for hidden treasure using the Enchanted Key.		manual	quest	
Enlightened Journey	悟りの旅	manual	quest	
Gain access to the Balloon transportation.		manual	quest	
Enter the Abyss	深淵へ	manual	quest	
Gain access to the Abyss.		manual	quest	
Ernest the Chicken	ニワトリのアーネスト	manual	quest	
Investigate the whereabouts of Ernest.		manual	quest	
Eyes of Glouphrie, The	グルフリーの目	manual	quest	
The Eyes of Glouphrie	グルフリーの目	manual	quest	
Gain a Crystal Saw Seed.		manual	quest	
Fairytale I - Growing Pains	フェアリーテール１：成長する痛み	manual	quest	
Learn how to teleport using Fairy Rings (start Fairytale II).		manual	quest	
Fairytale II - Cure a Queen	フェアリーテール２	manual	quest	
Investigate what's really going on in Zanaris.		manual	quest	
Family Crest	家紋	manual	quest	
Gain Skill-imbued Gauntlets.		manual	quest	
Family Pest	家族の厄介者	manual	quest	
Gain the ability to own all Skill-imbued Gauntlets.		manual	quest	
Feud, The	確執	manual	quest	
The Feud	確執	manual	quest	
Learn how to use a Blackjack.		manual	quest	
Fight Arena	闘技場	manual	quest	
Gain the Khazard armour.		manual	quest	
Fishing Contest	釣りコンテスト	manual	quest	
Gain access to White Wolf Mountain Pass.		manual	quest	
Forgettable Tale...	忘れがちな物語	manual	quest	
Forsaken Tower, The	放棄された塔	manual	quest	
The Forsaken Tower	放棄された塔	manual	quest	
Gain the Lovakengj Memoirs teleport.		manual	quest	
Fremennik Exiles, The	フレメニックの追放者	manual	quest	
The Fremennik Exiles	フレメニックの追放者	manual	quest	
Gain a V's Shield.		manual	quest	
Fremennik Isles, The	フレメニックの島々	manual	quest	
The Fremennik Isles	フレメニックの島々	manual	quest	
Gain a Helm of Neitiznot.		manual	quest	
Fremennik Trials, The	フレメニックの試験	manual	quest	
The Fremennik Trials	フレメニックの試験	manual	quest	
Gain great XP in several skills.		manual	quest	
Garden of Tranquillity	静寂の庭	manual	quest	
Gain an Activated Ring of Charos.		manual	quest	
General's Shadow, The	将軍の影	manual	quest	
The General's Shadow	将軍の影	manual	quest	
Gain the Shadow Sword.		manual	quest	
Gertrude's Cat	ゲートルードのネコ	manual	quest	
Gain a pet Kitten.		manual	quest	
Getting Ahead	先頭に立つ	manual	quest	
Help Gordon protect his farm.		manual	quest	
Ghosts Ahoy	幽霊さんヤッホー	manual	quest	
Gain access to Ectophial teleportation.		manual	quest	
Giant Dwarf, The	巨大なドワーフ	manual	quest	
The Giant Dwarf	巨大なドワーフ	manual	quest	
Learn how to travel by minecart.		manual	quest	
Goblin Diplomacy	ゴブリンとの外交	manual	quest	
Investigate the disturbance in Goblin Village.		manual	quest	
Golem, The	ザ・ゴーレム	manual	quest	
The Golem	ザ・ゴーレム	manual	quest	
Gain access to the Carpet rides to Uzer.		manual	quest	
Grand Tree, The	グランド・ツリー	manual	quest	
The Grand Tree	グランド・ツリー	manual	quest	
Gain access to the Gnome Glider transportation.		manual	quest	
Great Brain Robbery, The	大脳みそ大泥棒	manual	quest	
The Great Brain Robbery	大脳みそ大泥棒	manual	quest	
Gain a Barrelchest Anchor.		manual	quest	
Grim Tales	残酷な物語	manual	quest	
Hand in the Sand, The		manual	quest	
The Hand in the Sand	砂の中の手	manual	quest	
Gain access to the Wizards' Guild Rune Shop.		manual	quest	
Haunted Mine	呪われた採掘現場	manual	quest	
Gain a Salve Amulet.		manual	quest	
Hazeel Cult	ヘーゼル・カルト	manual	quest	
Gain the Carnillean armour.		manual	quest	
Heroes' Quest	ヒーロー・クエスト	manual	quest	
Learn how to wield Dragon Battleaxes and Maces.		manual	quest	
Holy Grail	聖杯	manual	quest	
Gain great Prayer and Defence XP.		manual	quest	
Horror from the Deep	深淵の恐怖	manual	quest	
Gain a God book.		manual	quest	
Icthlarin's Little Helper	イクスラリンの小さな助手	manual	quest	
Gain access to Sophanem.		manual	quest	
Imp Catcher	小悪魔捕り	manual	quest	
Gain early game Magic XP.		manual	quest	
In Aid of the Myreque	マイラークを助けるために	manual	quest	
Gain access to the Temple Trekking minigame.		manual	quest	
In Search of Knowledge	知識を求めて	manual	quest	
Gain an XP Lamp.		manual	quest	
In Search of the Myreque	マイラークを探せ	manual	quest	
Start the Myreque storyline.		manual	quest	
Jungle Potion	ジャングル・ポーション	manual	quest	
Assist Trufitus Shakaya with his ritual.		manual	quest	
Kingdom Divided, A	分裂した王国	manual	quest	
A Kingdom Divided	分裂した王国	manual	quest	
Learn how to cast Resurrection spells.		manual	quest	
King's Ransom	王の身代金	manual	quest	
Learn how to use the Chivalry and Piety prayers.		manual	quest	
Knight's Sword, The	騎士の剣	manual	quest	
The Knight's Sword	騎士の剣	manual	quest	
Gain great Smithing XP.		manual	quest	
Lair of Tarn Razorlor	ターン・ラゾローの隠れ家	manual	quest	
Gain an enchanted Salve Amulet.		manual	quest	
Legends' Quest	レジェンド・クエスト	manual	quest	
Gain access to the Legend's Guild.		manual	quest	
Lost City	失われた都市	manual	quest	
Gain access to Zanaris.		manual	quest	
Lost Tribe, The	失われた部族	manual	quest	
The Lost Tribe	失われた部族	manual	quest	
Gain access to the Bone Weapon Shop.		manual	quest	
Lunar Diplomacy	ルーナ族との外交	manual	quest	
Learn how to cast Lunar spells.		manual	quest	
Mage Arena I	魔術師アリーナ１	manual	quest	
Unlock the God spells.		manual	quest	
Mage Arena II	魔術師アリーナ２	manual	quest	
Learn how to imbue the God Capes.		manual	quest	
Making Friends with My Arm	おいらの腕と友達に	manual	quest	
Gain great XP and a disease-free herb patch.		manual	quest	
Making History	歴史を作る	manual	quest	
Help Jorral restore a historic location.		manual	quest	
Merlin's Crystal	マーリンの水晶	manual	quest	
Assist King Arthur in Camelot.		manual	quest	
Misthalin Mystery	ミスサリンの謎	manual	quest	
Monkey Madness I	サルの狂気１	manual	quest	
Learn how to wield Dragon Scimitars.		manual	quest	
Monkey Madness II	サルの狂気２	manual	quest	
Gain great XP and a Royal Seed Pod.		manual	quest	
Monk's Friend	僧侶の友達	manual	quest	
Gain early game Woodcutting XP.		manual	quest	
Mountain Daughter	山の娘	manual	quest	
Help the people of the Mountain Tribe.		manual	quest	
Mourning's End Part I	哀悼の終わり　パート１	manual	quest	
Gain great Hitpoint and Thieving XP.		manual	quest	
Mourning's End Part II	哀悼の終わり　パート２	manual	quest	
Learn how to craft Death Runes.		manual	quest	
Murder Mystery	殺人事件の謎	manual	quest	
Investigate a murder at Sinclair Mansion.		manual	quest	
My Arm's Big Adventure	おいらの腕の大冒険	manual	quest	
Gain access to a disease-free herb patch.		manual	quest	
Nature Spirit	自然の精霊	manual	quest	
Gain access to Mort Myre and the Nature Altar.		manual	quest	
Night at the Theatre, A	劇場の夜	manual	quest	
A Night at the Theatre	劇場の夜	manual	quest	
Experience the Theatre of Blood.		manual	quest	
Observatory Quest	天文台のクエスト	manual	quest	
Gain an Unholy Symbol Mould.		manual	quest	
Olaf's Quest	オラフのクエスト	manual	quest	
Gain access to the Brine Rat Cavern.		manual	quest	
One Small Favour	ちょっとした頼み	manual	quest	
Learn how to brew Guthix Rest Tea.		manual	quest	
Pirate's Treasure	海賊の宝	manual	quest	
Explore a story about buried treasure.		manual	quest	
Plague City	感染都市	manual	quest	
Unlock the Ardougne teleport spell.		manual	quest	
Porcine of Interest, A	重要参考豚	manual	quest	
A Porcine of Interest	重要参考豚	manual	quest	
Learn how to hunt Slayer monsters.		manual	quest	
Priest in Peril	危機に瀕した司祭	manual	quest	
Gain access to Morytania.		manual	quest	
Prince Ali Rescue	アリ王子を救出せよ	manual	quest	
Unlock Sorceress's Garden and gain free use of the Al Kharid Gate.		manual	quest	
Queen of Thieves, The	盗人の女王	manual	quest	
The Queen of Thieves	盗人の女王	manual	quest	
Gain the Port Piscarilius Memoirs teleport.		manual	quest	
Rag and Bone Man I	ぼろきれと骨の男１	manual	quest	
Assist the Odd Old Man with a collection.		manual	quest	
Rag and Bone Man II	ぼろきれと骨の男２	manual	quest	
Further assist the Odd Old Man with a collection.		manual	quest	
Ratcatchers	ネズミ捕り	manual	quest	
Learn new cat training methods.		manual	quest	
Recipe for Disaster	災難のレシピ	manual	quest	
Recruitment Drive	採用活動	manual	quest	
Gain a set of Initiate Armour.		manual	quest	
Regicide	国王殺し	manual	quest	
Gain access to Zulrah's Shrine.		manual	quest	
Restless Ghost, The	眠れぬ霊	manual	quest	
The Restless Ghost	眠れぬ霊	manual	quest	
Gain a Ghostspeak Amulet.		manual	quest	
Romeo & Juliet	ロミオとジュリエット	manual	quest	
Gain Quest Points.		manual	quest	
Roving Elves	放浪するエルフ	manual	quest	
Gain a Crystal Shield or Bow.		manual	quest	
Royal Trouble	王家の問題	manual	quest	
Gain enhanced rewards from Miscellenia.		manual	quest	
Rum Deal	ラムの取引	manual	quest	
Gain a Holy Wrench.		manual	quest	
Rune Mysteries	ルーンの謎	manual	quest	
Learn how to mine Rune Essence.		manual	quest	
Scorpion Catcher	サソリ捕り	manual	quest	
Help Thormac with a scorpion problem.		manual	quest	
Sea Slug	ウミウシ	manual	quest	
Gain access to the Fishing Platform.		manual	quest	
